Javascript Files,Sites,Repetitions
https://securepubads.g.doubleclick.net/pagead/js/rum.js,{'https://woot.com'},1
https://www.google-analytics.com/analytics.js,"{'https://247sports.com', 'http://ecollege.com', 'https://bluejeans.com', 'https://aweber.com', 'https://thefreedictionary.com', 'https://insider.com', 'https://jhu.edu', 'https://woot.com', 'https://time.com', 'https://mediafire.com', 'https://gizmodo.com', 'https://retailmenot.com', 'https://michigan.gov', 'https://pa.gov', 'https://sayweee.com'}",15
https://sslwidget.criteo.com/event?a=44342&v=5.6.1&p0=e%3Dexd%26site_type%3Dd&p1=e%3Dvl%26p%3D7ce97b11-dade-455b-8075-1850fc9fe778&p2=e%3Ddis&adce=1&tld=woot.com&dtycbr=53078,{'https://woot.com'},1
https://ssl.google-analytics.com/ga.js,"{'https://geeksforgeeks.org', 'https://woot.com'}",2
//www.googletagmanager.com/gtm.js?id=GTM-KBS4QP&l=googleDataLayer,{'https://woot.com'},1
https://www.googletagservices.com/tag/js/gpt.js,{'https://woot.com'},1
https://d3rqdbvvokrlbl.cloudfront.net/lib/scripts/shared/jquery-modernizr.df749b6d465d.js,{'https://woot.com'},1
https://securepubads.g.doubleclick.net/gpt/pubads_impl_2020090201.js,"{'https://nfl.com', 'https://insider.com', 'https://woot.com', 'https://geeksforgeeks.org', 'https://gizmodo.com', 'https://retailmenot.com'}",6
https://platform.twitter.com/js/moment~timeline~tweet.2e5232162202896d50461b242819754e.js,{'https://woot.com'},1
https://platform.twitter.com/js/timeline.610564c46865d0bb1eccdd42c0dc6ea7.js,{'https://woot.com'},1
https://platform.twitter.com/widgets.js,"{'https://247sports.com', 'https://woot.com'}",2
https://d3rqdbvvokrlbl.cloudfront.net/scripts/shared/layout.df749b6d465d.js,{'https://woot.com'},1
https://d3rqdbvvokrlbl.cloudfront.net/areas/woot/scripts/default/index.df749b6d465d.js,{'https://woot.com'},1
https://static.criteo.net/js/ld/ld.js,{'https://woot.com'},1
https://partner.googleadservices.com/gampad/cookie.js?domain=www.thefreedictionary.com&callback=_gfp_s_&client=ca-pub-2694630391511205,{'https://thefreedictionary.com'},1
https://pagead2.googlesyndication.com/pagead/js/r20200901/r20190131/show_ads_impl_fy2019.js,"{'https://gizmodo.com', 'https://thefreedictionary.com'}",2
//c.amazon-adsystem.com/aax2/apstag.js,"{'https://thefreedictionary.com', 'https://insider.com', 'https://geeksforgeeks.org'}",3
//img.tfd.com/async.js,{'https://thefreedictionary.com'},1
"//www.thefreedictionary.com/_/tr.ashx?r=0.8890609340310143&andr=0&IE=0&IE11=false&Edge=false&sw=1600&sh=900&loc=https%3A%2F%2Fwww.thefreedictionary.com%2F&ref=&dw=1017&dh=6014&ww=1034&wh=708&IsApp=0&word=&Domain=thefreedictionary.com&PageLang=en&canonical=https%3A%2F%2Fwww.thefreedictionary.com&tab=1&isLogin=false&a=jw&isExtDomain=false&l=2+362+3094+0+278,6+20+5656+0+977",{'https://thefreedictionary.com'},1
//img.tfd.com/hp/hp.js,{'https://thefreedictionary.com'},1
https://apis.google.com/js/platform.js?onload=googleLoginLoad,{'https://thefreedictionary.com'},1
//secure.thefreedictionary.com/recentSearches.ashx?tab=1&r=1599696393107,{'https://thefreedictionary.com'},1
//pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,{'https://thefreedictionary.com'},1
//img.tfd.com/ads.js,{'https://thefreedictionary.com'},1
//cse.google.com/adsense/search/async-ads.js,{'https://geeksforgeeks.org'},1
https://cdn.jwplayer.com/libraries/AQP5aIG2.js,{'https://geeksforgeeks.org'},1
https://cdn.perfdrive.com/aperture/aperture.js,{'https://geeksforgeeks.org'},1
https://cdn.perfdrive.com/aperture/xray.js,{'https://geeksforgeeks.org'},1
https://cse.google.com/cse.js?cx=009682134359037907028:tj6eafkv_be,{'https://geeksforgeeks.org'},1
https://apis.google.com/js/platform.js,{'https://geeksforgeeks.org'},1
//cdnjs.cloudflare.com/ajax/libs/require.js/2.1.14/require.min.js,{'https://geeksforgeeks.org'},1
https://www.geeksforgeeks.org/wp-includes/js/wp-emoji-release.min.js?ver=4.9.8,{'https://geeksforgeeks.org'},1
https://code.jquery.com/jquery-3.1.1.min.js?ver=3.1.1,{'https://geeksforgeeks.org'},1
https://code.jquery.com/jquery-migrate-3.0.0.min.js?ver=3.0.0,{'https://geeksforgeeks.org'},1
https://www.geeksforgeeks.org/wp-content/themes/iconic-one/js/gfg.min.js?ver=10.47,{'https://geeksforgeeks.org'},1
//cdn.adpushup.com/40792/adpushup.js,{'https://geeksforgeeks.org'},1
https://www.google.com/cse/static/element/26b8d00a7c7a0812/cse_element__en.js?usqp=CAI%3D,{'https://geeksforgeeks.org'},1
//securepubads.g.doubleclick.net/tag/js/gpt.js,{'https://geeksforgeeks.org'},1
https://cc.cdn.civiccomputing.com/9/cookieControl-9.x.min.js,{'https://geeksforgeeks.org'},1
https://accounts.google.com/gsi/client,"{'https://retailmenot.com', 'https://geeksforgeeks.org'}",2
https://www.geeksforgeeks.org/wp-includes/js/wp-embed.min.js?ver=4.9.8,{'https://geeksforgeeks.org'},1
//m.servedby-buysellads.com/monetization.js,{'https://geeksforgeeks.org'},1
https://secure.quantserve.com/quant.js,"{'https://nfl.com', 'https://247sports.com'}",2
https://quantcast.mgr.consensu.org/tcfv2/cmp2.js,{'https://nfl.com'},1
https://quantcast.mgr.consensu.org/choice/gGpYeVwuEvd4w/www.nfl.com/choice.js?timestamp=1599696490055,{'https://nfl.com'},1
//apv-launcher.minute.ly/api/launcher/MIN-70000.js,{'https://nfl.com'},1
https://securepubads.g.doubleclick.net/tag/js/gpt.js,"{'https://nfl.com', 'https://retailmenot.com', 'https://gizmodo.com'}",3
https://imasdk.googleapis.com/js/sdkloader/gpt_proxy.js,{'https://nfl.com'},1
//cdn.adsafeprotected.com/iasPET.1.js,"{'https://nfl.com', 'https://insider.com'}",2
https://cdn.onesignal.com/sdks/OneSignalSDK.js,"{'https://nfl.com', 'https://insider.com'}",2
//assets.adobedtm.com/a5ea4e8f4344/1648c62d3986/launch-53368d199d70.min.js,{'https://nfl.com'},1
https://assets.adobedtm.com/extensions/EPbde2f7ca14e540399dcc1f8208860b7b/AppMeasurement.min.js,{'https://nfl.com'},1
